Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-07-16 23:48:34,2024-07-17 23:10:30,UTC-07:00,2024-07-17 17:49:43,2024-07-17 18:31:24,41,Strength Trainer,13.3,106.0,145,100,53,14,0,0,0,false,,,
2024-07-16 23:48:34,2024-07-17 23:10:30,UTC-07:00,2024-07-17 17:14:36,2024-07-17 17:31:27,16,Cycling,6.0,152.0,154,135,2,56,42,0,0,false,,,
2024-07-16 00:27:55,2024-07-16 23:48:34,UTC-07:00,2024-07-16 18:27:35,2024-07-16 19:25:55,58,Running,13.7,726.0,178,152,0,8,65,27,0,false,,,
2024-07-14 23:20:26,2024-07-16 00:27:55,UTC-07:00,2024-07-15 18:54:46,2024-07-15 19:13:46,19,Cycling,5.9,150.0,153,130,11,67,22,0,0,false,,,
2024-07-14 23:20:26,2024-07-16 00:27:55,UTC-07:00,2024-07-15 18:04:09,2024-07-15 18:47:40,43,Strength Trainer,10.9,112.0,156,102,54,14,1,0,0,false,,,
2024-07-14 23:20:26,2024-07-16 00:27:55,UTC-07:00,2024-07-15 17:31:47,2024-07-15 17:49:02,17,Cycling,5.3,114.0,148,124,28,63,9,0,0,false,,,
2024-07-13 23:48:30,2024-07-14 23:20:26,UTC-07:00,2024-07-14 14:42:00,2024-07-14 15:28:29,46,Activity,10.4,465.0,172,140,4,27,62,7,0,false,,,
2024-07-11 23:09:32,2024-07-13 00:28:30,UTC-07:00,2024-07-12 19:10:30,2024-07-12 19:26:59,16,Activity,4.3,45.0,152,101,35,23,3,0,0,false,,,
2024-07-11 23:09:32,2024-07-13 00:28:30,UTC-07:00,2024-07-12 16:55:04,2024-07-12 17:38:34,43,Strength Trainer,4.6,93.0,152,93,22,11,1,0,0,false,,,
2024-07-10 23:31:02,2024-07-11 23:09:32,UTC-07:00,2024-07-11 19:30:34,2024-07-11 20:01:11,30,Running,11.3,405.0,177,156,0,2,55,43,0,false,,,
2024-07-09 23:07:00,2024-07-10 23:31:02,UTC-07:00,2024-07-10 18:59:27,2024-07-10 19:18:40,19,Cycling,5.4,124.0,149,124,28,64,8,0,0,false,,,
2024-07-09 23:07:00,2024-07-10 23:31:02,UTC-07:00,2024-07-10 18:01:32,2024-07-10 18:48:19,46,Strength Trainer,13.0,88.0,157,96,34,11,1,0,0,false,,,
2024-07-09 23:07:00,2024-07-10 23:31:02,UTC-07:00,2024-07-10 17:34:12,2024-07-10 17:51:33,17,Cycling,5.8,140.0,154,132,3,64,32,0,0,false,,,
2024-07-08 23:09:57,2024-07-09 23:07:00,UTC-07:00,2024-07-09 19:32:14,2024-07-09 20:26:35,54,Running,13.2,670.0,174,152,0,4,70,26,0,false,,,
2024-07-04 00:39:47,2024-07-04 23:41:21,UTC-07:00,2024-07-04 11:26:04,2024-07-04 13:02:30,96,Hiking,8.9,494.0,144,118,37,62,0,0,0,false,,,
2024-07-04 00:39:47,2024-07-04 23:41:21,UTC-07:00,2024-07-04 08:43:45,2024-07-04 10:55:53,132,Hiking,11.0,708.0,160,119,41,45,12,0,0,false,,,
2024-07-02 23:31:17,2024-07-04 00:39:47,UTC-07:00,2024-07-03 17:20:27,2024-07-03 18:11:00,50,Strength Trainer,13.5,85.0,145,91,31,8,0,0,0,false,,,
2024-07-01 23:18:26,2024-07-02 23:31:17,UTC-07:00,2024-07-02 16:19:30,2024-07-02 18:16:29,116,Cycling,13.4,992.0,167,134,10,38,52,0,0,false,,,
2024-06-30 23:32:07,2024-07-01 23:18:26,UTC-07:00,2024-07-01 17:36:00,2024-07-01 17:56:59,20,Cycling,6.8,196.0,161,138,6,28,66,0,0,false,,,
2024-06-30 23:32:07,2024-07-01 23:18:26,UTC-07:00,2024-07-01 16:47:57,2024-07-01 17:27:18,39,Strength Trainer,9.8,75.0,150,93,35,7,0,0,0,false,,,
2024-06-30 00:23:35,2024-06-30 23:32:07,UTC-07:00,2024-06-30 14:57:00,2024-06-30 15:31:29,34,Running,10.7,410.0,175,150,0,4,78,17,0,false,,,
2024-06-27 22:12:45,2024-06-28 23:04:26,UTC-07:00,2024-06-28 17:48:00,2024-06-28 20:10:29,142,Cycling,14.5,1293.0,163,136,4,45,51,0,0,false,,,
2024-06-26 21:54:42,2024-06-27 22:12:45,UTC-07:00,2024-06-27 17:42:00,2024-06-27 18:35:59,53,Running,13.8,694.0,182,154,4,4,52,40,0,false,,,
2024-06-25 23:55:05,2024-06-26 21:54:42,UTC-07:00,2024-06-26 18:24:00,2024-06-26 18:46:29,22,Cycling,7.2,214.0,158,137,7,27,66,0,0,false,,,
2024-06-25 23:55:05,2024-06-26 21:54:42,UTC-07:00,2024-06-26 17:21:16,2024-06-26 17:50:23,29,Strength Trainer,6.1,55.0,135,97,40,8,0,0,0,false,,,
2024-06-24 22:10:35,2024-06-25 23:55:05,UTC-07:00,2024-06-25 17:40:30,2024-06-25 18:31:29,50,Running,13.3,644.0,181,152,2,7,58,32,0,false,,,
2024-06-24 00:07:25,2024-06-24 22:10:35,UTC-07:00,2024-06-24 18:25:30,2024-06-24 18:44:59,19,Cycling,6.4,175.0,154,134,10,46,44,0,0,false,,,
